X,Y,tree_id,flag_id,site_id,plot_id,spp,dist_x,dist_y,status,dbh,height_m,hdm_pa,b_lc,dmr_l,dmr_m,dmr_u,broom_pa,broom_pos,stem_pa,crown_class,dam_agent_1,dam_agent_2,path_ind_1,path_ind_2,crown_cond,notes,dist_m,az_deg,outside_10,assessed_by,tree_type,dmr,dmr_f,ht_corr,Dec,corr_az_deg,tr_az,tr_leng,dist_y_h,plot_x_utm,plot_y_utm,sim_tree,tree_type_2,crown_class_2,height_cv_est,dbh_cv_est,HT_BR,CL,CR,MCW,LCW,DACB,HLCW,CV,CV_l,CV_m,CV_u,sp,sl_ni_rm,sl_i_tot_rm,sl_i_hw_rm,sl_i_nh_rm,sl_ni_rr,sl_i_tot_rr,sl_i_hw_rr,sl_i_nh_rr,sl_ni_all,sl_i_tot_all,sl_i_hw_all,sl_i_nh_all
1043643.14561036,574057.784648712,r62,NA,cr_1,166,Dr,0.1,8.3,LS,15.7,NA,-,-,NA,NA,NA,-,-,-,C,NA,NA,NA,NA,1,NA,7.37824958477748,NA,NA,NA,regen,NA,-,NA,16.35978259,310.776573537416,310,32.8,7.37757188614716,1043648.73287954,574052.96583247,N,meas regen,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1043640.06807597,574058.800517936,r63,w9,cr_1,166,Hw,-1.1,11.4,LS,20.7,22.8,Y,Y,1,0,0,N,-,Y,C,NA,NA,NA,NA,1,NA,10.4461655880286,NA,NA,NA,regen,1,1,22.3,16.35978259,303.955445395807,310,32.8,10.388088153867,1043648.73287954,574052.96583247,N,meas regen,C,22.325,20.981578947368423,13.15431472569911,9.170685274300888,0.4107809753326266,5.079282365153331,4.202895130854388,3.2580693574008763,16.412384083099987,60.152041636519336,27.7849069857872,26.242109750669663,6.125024901945515,27.7849069857872,45.248046345830105,33.13415873163687,33.13415873163687,45.248046345830105,15.010614402402334,10.146399060554334,12.366676737158047,10.305303114542083,60.25866074823244,43.2805577921912,45.50083546879492,55.55334946037219
1043638.48918196,574061.300233874,r64,NA,cr_1,166,Cw,-0.2,14.3,LS,9.3,NA,-,-,NA,NA,NA,-,-,-,S,NA,NA,NA,NA,1,NA,13.20589212795,NA,NA,NA,regen,NA,-,NA,16.35978259,309.132236285969,310,32.8,13.204377565605,1043648.73287954,574052.96583247,N,meas regen,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1043639.15938268,574063.609764731,r65,w31,cr_1,166,Hw,2,15.3,LS,27.7,NA,Y,Y,1,1,0,Y,8,N,C,NA,NA,NA,NA,1,NA,14.3159050039571,NA,NA,NA,regen,2,2,NA,16.35978259,318.030762052869,310,32.8,14.1755118455146,1043648.73287954,574052.96583247,N,meas regen,C,22.325,20.981578947368423,13.15431472569911,9.170685274300888,0.4107809753326266,5.079282365153331,4.202895130854388,3.2580693574008763,16.412384083099987,60.152041636519336,27.7849069857872,26.242109750669663,6.125024901945515,54.02701673645686,18.894025745193417,15.466971206132218,15.466971206132218,18.894025745193417,17.577268029460615,9.988985305191576,10.785936127956838,15.98673835973319,36.47129377465403,25.455956511323794,26.252907334089056,34.880764104926605
1043635.88475799,574060.613709031,r66,NA,cr_1,166,Cw,-2.4,15.9,DS,5,NA,-,-,NA,NA,NA,-,-,-,S,NA,NA,NA,NA,-,NA,14.9520648511408,NA,NA,NA,regen,NA,-,NA,16.35978259,300.763329229349,310,32.8,14.7581924134604,1043648.73287954,574052.96583247,N,meas regen,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1043635.88475799,574060.613709031,r67,NA,cr_1,166,Cw,-2.4,15.9,LS,7.2,NA,-,-,NA,NA,NA,-,-,-,S,NA,NA,NA,NA,1,NA,14.9520648511408,NA,NA,NA,regen,NA,-,NA,16.35978259,300.763329229349,310,32.8,14.7581924134604,1043648.73287954,574052.96583247,N,meas regen,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1043635.19858241,574062.36434527,r68,NA,cr_1,166,Dr,-1.5,17.6,LS,15.4,NA,-,-,NA,NA,NA,-,-,-,C,NA,NA,NA,NA,1,NA,16.4775374918777,NA,NA,NA,regen,NA,-,NA,16.35978259,304.77696125082,310,32.8,16.4091206893068,1043648.73287954,574052.96583247,N,meas regen,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1043635.13430365,574062.287740826,r69,NA,cr_1,166,Mb,-1.6,17.6,LS,4.4,NA,-,-,NA,NA,NA,-,-,-,I,NA,NA,NA,NA,1,NA,16.4869415537338,NA,NA,NA,regen,NA,-,NA,16.35978259,304.430879917167,310,32.8,16.4091206893068,1043648.73287954,574052.96583247,N,meas regen,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1043635.05405002,574066.271303478,r70,w21,cr_1,166,Hw,1.4,20.3,LS,7.6,NA,Y,Y,0,0,0,N,-,N,S,NA,NA,NA,NA,1,NA,19.0826081998022,NA,NA,NA,regen,0,IBLC,NA,16.35978259,314.207298262576,310,32.8,19.0311832450628,1043648.73287954,574052.96583247,N,meas regen,S,10.573830845771145,7.573076923076923,6.588372481265529,3.9854583645056136,0.3769171667900799,2.731563342409305,2.354556826395492,1.415913793157909,8.004286274423439,8.20442416463756,3.789716126286673,3.5792866486135284,0.8354213911121774,0,4.120055611192517,3.9406546579917894,3.9406546579917894,4.120055611192517,45.03943431550368,16.09902069283337,26.400670909790794,25.84378618037358,49.159489926696196,20.03967535082516,30.341325567782583,29.963841791566097
1043633.87321133,574064.259708025,r71,w102,cr_1,166,Hw,-0.9,19.9,LS,11.2,NA,Y,Y,1,0,0,N,-,N,I,NA,NA,7,NA,1,NA,18.664441176855,NA,NA,NA,regen,1,1,NA,16.35978259,307.236123739778,310,32.8,18.6427295330989,1043648.73287954,574052.96583247,N,meas regen,I,16.12731343283582,12.138095238095238,9.691369761243593,6.435943671592227,0.3990710355072781,3.550439309288639,3.0068960681818493,2.2864977082065705,11.977867469450164,21.60730212303808,9.980656736819862,9.426466304036143,2.200179078705073,9.980656736819862,4.253808628703026,4.06571385865805,4.06571385865805,4.253808628703026,39.09807188926807,20.014882356387577,31.37456244493827,27.243053982425124,43.3518805179711,24.080596215045627,35.44027630359632,31.49686261112815
